Section,Tenet,Brand,Quantity,Name,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Starter,Neutral,Neutral,35,Basic Beat,Action,0,+1 Tip ($),0,"""...working 9 to 5...""","""It's clean. It's simple. It's... adequate."""
Starter,Neutral,Neutral,15,Messy Lip Sync,Action,0,+1 Appeal (★),0,"""...forgot the words...""","""Girl, do you even know the song?"""
Starter,Neutral,Neutral,10,Chapstick,Makeup,0,+1 Tip ($). You may discard 1 card to draw 1 card.,0,"""...kiss me...""","""The secret to a soft pout and a desperate budget."""
Wardrobe,Pink,SUGAR RUSH,4,Bubblegum Pigtails,Wig,3,+1 ★,Play: Draw 1 Card.,2,"""...pop goes the world...""","""Sweet enough to rot your teeth."""
Wardrobe,Pink,SUGAR RUSH,4,Sweet Lolita JSK,Body,5,+2 ★,"Matching: If Matching Brand, Draw 1 Card.",3,"""...dollhouse life...""","""The petticoat count is strictly confidential."""
Wardrobe,Pink,SUGAR RUSH,4,Tea Party Platforms,Shoes,4,+1 ★,"Fusion: If you have Pink Wig, gain +2 Tips ($).",2,"""...walking on air...""","""Rounded toes for a well-rounded queen."""
Wardrobe,Pink,SUGAR RUSH,4,Anime Eyes,Face,3,+1 $,"Play: Look at top 3 cards of deck. Put 1 in hand, discard rest.",1,"""...senpai noticed me...""","""Windows to an animated soul."""
Wardrobe,Pink,SUGAR RUSH,4,Lace Parasol,Acc,4,+2 ★,Play: Return a card from Backstage Archive to hand.,2,"""...shade in the garden...""","""Protecting my porcelain complexion."""
Wardrobe,Pink,HYPER-GLITCH,2,Fiber Optic Dreads,Wig,5,+2 ★,"Play: Draw 2 Cards, then discard 1.",3,"""...system overload...""","""Plug in and tune out."""
Wardrobe,Pink,HYPER-GLITCH,2,Holographic Bodysuit,Body,6,+3 ★,Matching: Pink cards cost -1 Tip to buy.,4,"""...cyber love...""","""Loading texture... 99%."""
Wardrobe,Pink,HYPER-GLITCH,2,LED Hover-Boots,Shoes,5,+2 ★,"Fusion: If Fusion Look, gain +1 SP Token.",3,"""...future is now...""","""Gravity is optional."""
Wardrobe,Pink,HYPER-GLITCH,2,Chrome Face Plate,Face,4,+1 ★,Fusion: Copy the effect of another Face card in play.,2,"""...mirror mirror...""","""Reflecting your flaws."""
Wardrobe,Pink,HYPER-GLITCH,2,Pixel Shades,Acc,3,+2 ★,"Fusion: If 3+ Pink cards, gain +3 Appeal.",2,"""...8-bit fantasy...""","""Deal with it."""
Wardrobe,Blue,NECROPOLIS,3,Medusa Locks,Wig,4,+2 ★,Play: Opponent discards 1 random card.,3,"""...stone cold heart...""","""Don't look her in the eye."""
Wardrobe,Blue,NECROPOLIS,3,Funeral Shroud,Body,5,+2 ★,Play: You may trash a card from your hand.,3,"""...bury a friend...""","""Mourning becomes her."""
Wardrobe,Blue,NECROPOLIS,3,Combat Boots,Shoes,3,+1 ★,Matching: +2 LS Points in battles.,4,"""...stomp stomp stomp...""","""Made for crushing."""
Wardrobe,Blue,NECROPOLIS,3,Pale Foundation,Face,3,+1 ★,Matching: +1 LS Point. Fusion: +1 LS Point.,3,"""...dead and gone...""","""Not a pulse in sight."""
Wardrobe,Blue,NECROPOLIS,3,Skull Choker,Acc,4,+2 ★,Play: Opponent loses 1 Tip ($) next turn.,3,"""...choke on it...""","""Till death do us part."""
Wardrobe,Blue,SLASHER,2,Final Girl Bob,Wig,5,+2 ★,Play: Give opponent an Extermination.,4,"""...don't answer the phone...""","""She always survives."""
Wardrobe,Blue,SLASHER,2,Butcher's Apron,Body,6,+3 ★,Play: Opponent must discard an Action card.,5,"""...cut you up...""","""Fresh meat."""
Wardrobe,Blue,SLASHER,2,Stiletto Knives,Shoes,5,+2 ★,"Matching: If Matching Look, +3 LS Points.",4,"""...sharp dressed man...""","""Killer heels."""
Wardrobe,Blue,SLASHER,2,Stitched Mouth,Face,4,+2 ★,Play: Opponent cannot play Actions next turn.,3,"""...silent scream...""","""Speak no evil."""
Wardrobe,Blue,SLASHER,2,Rusty Chainsaw,Acc,5,+3 ★,Play: Trash a card in the Market Row. Replace it.,4,"""...rev it up...""","""Accessorize with gasoline."""
Wardrobe,Blue,VOID,2,Galaxy Brain,Wig,7,+4 ★,Play: Look at opponent's hand. Discard 1 card.,5,"""...space oddity...""","""Your mind is so small."""
Wardrobe,Blue,VOID,1,Event Horizon Dress,Body,8,+5 ★,Matching: Opponents cannot target you.,5,"""...black hole sun...""","""No light escapes."""
Wardrobe,Blue,VOID,2,Anti-Gravity Heels,Shoes,6,+3 ★,Fusion: Counts as ANY color for Sets. Deep Storage.,4,"""...defying gravity...""","""Floating above the haters."""
Wardrobe,Blue,VOID,3,Void Gaze,Face,6,+3 ★,"Fusion: If Fusion Look, Steal 2 Tips ($).",4,"""...into the abyss...""","""The abyss stared back."""
Wardrobe,Blue,VOID,2,Tentacle Prosthetic,Acc,5,+3 ★,Play: Opponent draws 1 fewer card next turn.,4,"""...creature feature...""","""It feels... slimey."""
Wardrobe,Purple,VELVET TRAP,4,Femme Fatale Waves,Wig,4,+2 ★,"Fusion: If you have Purple Body, gain +1 Tip.",2,"""...red right hand...""","""Dangerously wavy."""
Wardrobe,Purple,VELVET TRAP,4,Velvet Corset,Body,5,+3 ★,Matching: +1 LS Point.,2,"""...smooth operator...""","""Squeeze until you faint."""
Wardrobe,Purple,VELVET TRAP,4,Silk Stockings,Shoes,4,+1 ★,Fusion: +1 Appeal for every Purple card in play.,2,"""...legs for days...""","""Sheer perfection."""
Wardrobe,Purple,VELVET TRAP,4,Vamp Lip,Face,4,+2 ★,"Matching: If Matching Look, gain +1 SP Token.",2,"""...bite me...""","""A kiss of death."""
