Group,Qty,Name,Tenet,Brand,Type,Cost,Tips,Appeal,LS,Effect,Judge,Featured Brand,Brand Ovation,Spotlight Requirement,Judge's Favor
Starter,35,Basic Beat,Neutral,Dressing Room,Action,0,1,0,0,Play: Gain 1 Tip.,,,,,
Starter,15,Messy Lip Sync,Neutral,Dressing Room,Action,0,0,1,0,Play: Gain 1 Appeal.,,,,,
Starter,10,Chapstick,Neutral,Dressing Room,Face / Makeup,0,1,0,0,"Play: You may archive 1 other card from hand. If you do, draw 1 card.",,,,,
Wardrobe,4,Bubblegum Pigtails,Pink,Sugar Rush,Wig,3,0,1,2,Play: Draw 1 card.,,,,,
Wardrobe,4,Sweet Lolita JSK,Pink,Sugar Rush,Body,5,0,2,3,Matching: Draw 1 card.,,,,,
Wardrobe,4,Tea Party Platforms,Pink,Sugar Rush,Shoes,4,0,1,2,"Fusion: If your Wig Master is Pink, gain 2 Tips.",,,,,
Wardrobe,4,Anime Eyes,Pink,Sugar Rush,Face,3,1,0,1,Play: Look at the top 3 cards of your Deck. Put 1 in hand; archive the rest.,,,,,
Wardrobe,4,Lace Parasol,Pink,Sugar Rush,Accessory,4,0,2,2,Play: Return 1 card from your Backstage Archive to hand.,,,,,
Wardrobe,2,Fiber Optic Dreads,Pink,Hyper-Glitch,Wig,5,0,2,3,"Play: Draw 2 cards, then archive 1 card from hand.",,,,,
Wardrobe,2,Holographic Bodysuit,Pink,Hyper-Glitch,Body,6,0,3,4,"Matching: This turn, Pink cards cost 1 less Tip during Shopping (minimum 0).",,,,,
Wardrobe,2,LED Hover-Boots,Pink,Hyper-Glitch,Shoes,5,0,2,3,Fusion: Gain 1 Gross SP.,,,,,
Wardrobe,2,Chrome Face Plate,Pink,Hyper-Glitch,Face,4,0,1,2,Fusion: Choose another Face Master in play. Copy only that card's Fusion ability until this Reveal ends.,,,,,
Wardrobe,2,Pixel Shades,Pink,Hyper-Glitch,Accessory,3,0,2,2,"Fusion: If you control 3+ Pink Fashion cards, gain 3 Appeal.",,,,,
Wardrobe,3,Medusa Locks,Blue,Necropolis,Wig,4,0,2,3,Play: Choose an opponent. They archive 1 random card from hand.,,,,,
Wardrobe,3,Funeral Shroud,Blue,Necropolis,Body,5,0,2,3,Play: You may trash 1 card from hand.,,,,,
Wardrobe,3,Combat Boots,Blue,Necropolis,Shoes,3,0,1,4,Matching: Gain +2 LS in Dragdagulan this turn.,,,,,
Wardrobe,3,Pale Foundation,Blue,Necropolis,Face,3,0,1,3,Matching: +1 LS this turn. Fusion: +1 LS this turn.,,,,,
Wardrobe,3,Skull Choker,Blue,Necropolis,Accessory,4,0,2,3,"Play: Choose an opponent. During their next Reveal, after Fashion resources are added, they lose 1 Tip (minimum 0).",,,,,
Wardrobe,2,Final Girl Bob,Blue,Slasher,Wig,5,0,2,4,"Play: Choose an opponent. They take 1 Extermination into their Backstage Archive, if available.",,,,,
Wardrobe,2,Butcher's Apron,Blue,Slasher,Body,6,0,3,5,"Play: Choose an opponent. They archive 1 Action from hand, if able.",,,,,
Wardrobe,2,Stiletto Knives,Blue,Slasher,Shoes,5,0,2,4,Matching: Gain +3 LS in Dragdagulan this turn.,,,,,
Wardrobe,2,Stitched Mouth,Blue,Slasher,Face,4,0,2,3,Play: Choose an opponent. They cannot play Actions during their next Transformation.,,,,,
Wardrobe,2,Rusty Chainsaw,Blue,Slasher,Accessory,5,0,3,4,"Play: Move 1 Market Row card to Boutique Trash, then refill that Market space.",,,,,
Wardrobe,2,Galaxy Brain,Blue,Void,Wig,7,0,4,5,Play: Choose an opponent. Look at their hand and choose 1 card for them to archive.,,,,,
Wardrobe,1,Event Horizon Dress,Blue,Void,Body,8,0,5,5,Matching: Gain Untouchable until the next Curtain Call.,,,,,
Wardrobe,2,Anti-Gravity Heels,Blue,Void,Shoes,6,0,3,4,Wild. Deep Storage.,,,,,
Wardrobe,3,Void Gaze,Blue,Void,Face,6,0,3,4,Fusion: Choose an opponent and take up to 2 of their Tips.,,,,,
Wardrobe,2,Tentacle Prosthetic,Blue,Void,Accessory,5,0,3,4,"Play: Choose an opponent. At their next Cleanup, they draw 1 fewer card, then remove this effect.",,,,,
Wardrobe,4,Femme Fatale Waves,Purple,Velvet Trap,Wig,4,0,2,2,"Fusion: If your Body Master is Purple, gain 1 Tip.",,,,,
Wardrobe,4,Velvet Corset,Purple,Velvet Trap,Body,5,0,3,2,Matching: Gain +1 LS in Dragdagulan this turn.,,,,,
Wardrobe,4,Silk Stockings,Purple,Velvet Trap,Shoes,4,0,1,2,Fusion: Gain 1 Appeal for each Purple Fashion card you control.,,,,,
Wardrobe,4,Vamp Lip,Purple,Velvet Trap,Face,4,0,2,2,Matching: Gain 1 Gross SP.,,,,,
Wardrobe,4,Feather Boa,Purple,Velvet Trap,Accessory,3,0,2,1,Matching: Gain +1 LS in Dragdagulan this turn for each Purple Fashion card in play. No cap.,,,,,
Wardrobe,2,Pageant Updo,Purple,Gilded Cage,Wig,6,0,3,4,"Matching: +2 LS this turn. While this is your Wig Master, opponent effects cannot force you to discard from hand.",,,,,
Wardrobe,1,Sequined Gown,Purple,Gilded Cage,Body,8,0,6,5,"Matching: If this card has no Crown marker, place one on it. At Final Judging, a Crowned copy is worth +5 SP.",,,,,
Wardrobe,2,Glass Slippers,Purple,Gilded Cage,Shoes,6,0,3,3,"Fusion: If your Body Master is Purple, gain 4 Appeal.",,,,,
Wardrobe,3,Rhinestone Tears,Purple,Gilded Cage,Face,5,0,3,3,Play: Gain 1 Gross SP.,,,,,
Wardrobe,2,Diamond Scepter,Purple,Gilded Cage,Accessory,7,0,5,5,"Matching: If you Slay the Active Stage this turn, gain +2 Gross SP.",,,,,
Wardrobe,3,Spaghetti Wig,Yellow,Trash Can,Wig,3,0,1,1,Play: You may trash 1 card from hand.,,,,,
