Stage,Judge,Featured Brand,Brand Ovation,Spotlight Requirement,Judge's Favor
The Monster Ball,Dr. Abomination,Necropolis,+2 Gross SP,Slay with a Complete Coordinate containing two different Blue Brands,"Beautifully Monstrous - Once per game after drawing for Dragdagulan, gain +4 LS for that battle."
Anime Matsuri,Hoshi Supreme,Sugar Rush,+2 Gross SP,Slay with a Matching Pink Look,"Encore Edit - Once per game after drawing your hand, draw 2 cards and then archive 2 cards from hand."
The Filth Floor,Mother Grime,Trash Can,+2 Gross SP,Trash at least two eligible cards during the Slay turn; the Stage cost counts,"Filthy Rich - Once per game during Transformation, trash 1 eligible card from hand or Archive and then draw 1 card."
Grand Finale,Empress Finale,Gilded Cage,+2 Gross SP,Slay with a Perfect Illusion,"Final Ovation - This Stage trophy is worth +2 SP during Final Judging."
Duality Ball,Gemini Glitz,Velvet Trap,+2 Gross SP,Slay with a Fusion Look that uses at least one Deep Storage card,"Two for One - Once per game during Shopping, gain 5 Tips that may be spent on one purchase only."
Face Face Face,Madame Visage,Big Top,+2 Gross SP,Slay while your Face Master has at least 2 printed Appeal,"Painted for the Gods - Once per game after equipping a Face Master, draw 2 cards and then archive 1 card from hand."
Witching Hour,Belladonna Hex,Swamp Witch,+2 Gross SP,Slay while controlling both a Swamp Witch card and a Void card,"Back from the Beyond - Once per game during Transformation, play or equip one eligible non-Penalty card from your Archive as though it were in hand."
Dungeon Drag,Chain Reaction,Slasher,+2 Gross SP,Slay while controlling both a Slasher card and a Velvet Trap card,"Break the Chains - Once per game when you lose Dragdagulan, prevent the Penalty you would take."
Circus Berserkus,Ringmistress Riot,Big Top,+2 Gross SP,Slay while controlling both a Big Top card and a Sugar Rush card,"Center Ring - Once per game during The Reveal, gain 3 Appeal after multipliers are applied."
Neon Nights,DJ Electra,Hyper-Glitch,+2 Gross SP,Slay while your Shoes Master belongs to Hyper-Glitch,"VIP List - Once per game during Shopping, reduce one purchase's Cost by 3, minimum 0."
Royal Rumble,The Grand Regent,Gilded Cage,+2 Gross SP,Slay while controlling a Gilded Cage Accessory,"Royal Decree - Once per game when you gain Gross SP, gain 2 additional Gross SP."
Apocalypse Now,Last Call,Void,+2 Gross SP,Slay while controlling both a Trash Can card and a Necropolis card,"Last One Standing - Once per game during Transformation, trash one Penalty from your hand or Archive."
