card_id,version_added,current_status,card_name,component,card_type,slot,tenet,brand,cost,tips,appeal,ls,sp,quantity,rules_text,notes,ip_marker,source_doc
HH-001,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-002,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-003,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-004,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-005,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-006,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-007,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-008,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-009,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-010,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-011,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-012,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-013,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-014,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-015,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-016,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-017,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-018,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-019,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-020,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
